25,24,time,mNr
0.79436,0.529776,1731489942858000,20
-0.317744,0.937296,1731489942858400,20
0.635488,1.141056,1731489942858800,20
1.19154,0.896544,1731489942859200,20
0.357462,0.529776,1731489942859600,20
0.556052,-0.774288,1731489942860000,20
0.317744,0.0,1731489942860400,20
0.476616,0.20376,1731489942860800,20
0.953232,-0.61128,1731489942861200,20
1.270976,0.448272,1731489942861600,20
0.556052,-0.529776,1731489942862000,20
0.39718,0.570528,1731489942862400,20
-0.39718,-0.285264,1731489942862800,20
-0.317744,-1.263312,1731489942863200,20
0.278026,-0.448272,1731489942863600,20
-0.19859,-1.304064,1731489942864000,20
-0.317744,-0.285264,1731489942864400,20
-0.556052,-0.81504,1731489942864800,20
-0.556052,0.040752,1731489942865200,20
-0.39718,-0.244512,1731489942865600,20
0.0,0.326016,1731489942866000,20
0.0,-0.448272,1731489942866400,20
-1.58872,-0.489024,1731489942866800,20
-0.79436,-0.122256,1731489942867200,20
-0.39718,0.529776,1731489942867600,20
-0.357462,-0.122256,1731489942868000,20
-1.827028,0.366768,1731489942868400,20
-0.59577,-0.529776,1731489942868800,20
-0.714924,0.040752,1731489942869200,20
-0.039718,-0.163008,1731489942869600,20
-0.079436,0.40752,1731489942870000,20
0.357462,0.81504,1731489942870400,20
-0.19859,0.733536,1731489942870800,20
0.119154,0.489024,1731489942871200,20
0.158872,0.326016,1731489942871600,20
1.112104,-0.081504,1731489942872000,20
0.635488,0.978048,1731489942872400,20
0.119154,0.040752,1731489942872800,20
1.827028,0.774288,1731489942873200,20
1.310694,-0.081504,1731489942873600,20
1.151822,0.40752,1731489942874000,20
0.039718,-0.489024,1731489942874400,20
0.754642,0.40752,1731489942874800,20
-0.278026,-0.122256,1731489942875200,20
0.476616,-0.570528,1731489942875600,20
0.99295,-0.448272,1731489942876000,20
-0.158872,-1.100304,1731489942876400,20
-0.79436,-0.937296,1731489942876800,20
0.635488,-0.040752,1731489942877200,20
-0.119154,-1.0188,1731489942877600,20
-0.834078,-1.100304,1731489942878000,20
