time,Bm X,Bm Y
1642489203693.2002,-0.062968,0.31594
1642489203693.5999,-0.47226,-0.126376
1642489203694.0,-0.220388,0.347534
1642489203694.4001,-0.692648,0.505504
1642489203694.7998,-0.220388,0.568692
1642489203695.2,0.188904,0.600286
1642489203695.6,0.47226,0.663474
1642489203696.0,0.409292,0.537098
1642489203696.4,-0.535228,0.221158
1642489203696.8,-0.15742,0.189564
1642489203697.2,-0.62968,0.063188
1642489203697.5999,0.31484,-0.47391
1642489203698.0,0.251872,0.031594
1642489203698.4,1.007488,0.063188
1642489203698.8,-0.598196,-0.537098
1642489203699.2,-0.346324,-0.031594
1642489203699.6,0.409292,0.031594
1642489203700.0,0.0,-0.221158
1642489203700.4001,0.283356,-1.137384
